No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Nahuel Guzmán	(1986-02-10) 10 February 1986 (age 32)	6	0	UANL
12	1GK	Franco Armani	(1986-10-16) 16 October 1986 (age 31)	0	0	River Plate
23	1GK	Willy Caballero	(1981-09-28) 28 September 1981 (age 36)	3	0	Chelsea
2	2DF	Gabriel Mercado	(1987-03-18) 18 March 1987 (age 31)	20	3	Sevilla
3	2DF	Nicolás Tagliafico	(1992-08-31) 31 August 1992 (age 25)	4	0	Ajax
4	2DF	Cristian Ansaldi	(1986-09-20) 20 September 1986 (age 31)	5	0	Torino
6	2DF	Federico Fazio	(1987-03-17) 17 March 1987 (age 31)	9	1	Roma
8	2DF	Marcos Acuña	(1991-10-28) 28 October 1991 (age 26)	10	0	Sporting CP
16	2DF	Marcos Rojo	(1990-03-20) 20 March 1990 (age 28)	56	2	Manchester United
17	2DF	Nicolás Otamendi	(1988-02-12) 12 February 1988 (age 30)	54	4	Manchester City
5	3MF	Lucas Biglia	(1986-01-30) 30 January 1986 (age 32)	57	1	Milan
7	3MF	Éver Banega	(1988-06-29) 29 June 1988 (age 29)	62	6	Sevilla
11	3MF	Ángel Di María	(1988-02-14) 14 February 1988 (age 30)	94	19	Paris Saint-Germain
13	3MF	Maximiliano Meza	(1992-01-15) 15 January 1992 (age 26)	2	0	Independiente
14	3MF	Javier Mascherano	(1984-06-08) 8 June 1984 (age 34)	143	3	Hebei China Fortune
15	3MF	Enzo Pérez	(1986-02-22) 22 February 1986 (age 32)	23	1	River Plate
18	3MF	Eduardo Salvio	(1990-07-13) 13 July 1990 (age 27)	9	0	Benfica
20	3MF	Giovani Lo Celso	(1996-04-09) 9 April 1996 (age 22)	5	0	Paris Saint-Germain
22	3MF	Cristian Pavón	(1996-01-21) 21 January 1996 (age 22)	5	0	Boca Juniors
9	4FW	Gonzalo Higuaín	(1987-12-10) 10 December 1987 (age 30)	71	31	Juventus
10	4FW	Lionel Messi (Captain)	(1987-06-24) 24 June 1987 (age 30)	124	64	Barcelona
19	4FW	Sergio Agüero	(1988-06-02) 2 June 1988 (age 30)	85	37	Manchester City
21	4FW	Paulo Dybala	(1993-11-15) 15 November 1993 (age 24)	12	0	Juventus
