No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Ryan, MathewMathew Ryan	(1992-04-08) 8 April 1992 (age 26)	44	0	Brighton & Hove Albion
12	1GK	Jones, BradBrad Jones	(1982-03-19) 19 March 1982 (age 36)	6	0	Feyenoord
18	1GK	Vukovic, DannyDanny Vukovic	(1985-03-27) 27 March 1985 (age 33)	1	0	Genk
2	2DF	Degenek, MilosMilos Degenek	(1994-04-28) 28 April 1994 (age 24)	18	0	Yokohama F. Marinos
3	2DF	Meredith, JamesJames Meredith	(1988-04-04) 4 April 1988 (age 30)	2	0	Millwall
6	2DF	Jurman, MatthewMatthew Jurman	(1989-12-08) 8 December 1989 (age 28)	4	0	Suwon Samsung Bluewings
16	2DF	Behich, AzizAziz Behich	(1990-10-16) 16 October 1990 (age 27)	23	2	Bursaspor
19	2DF	Risdon, JoshJosh Risdon	(1992-07-27) 27 July 1992 (age 25)	8	0	Western Sydney Wanderers
20	2DF	Sainsbury, TrentTrent Sainsbury	(1992-01-05) 5 January 1992 (age 26)	35	3	Grasshopper
5	3MF	Milligan, MarkMark Milligan	(1985-08-04) 4 August 1985 (age 32)	71	6	Al-Ahli
8	3MF	Luongo, MassimoMassimo Luongo	(1992-09-25) 25 September 1992 (age 25)	36	5	Queens Park Rangers
13	3MF	Mooy, AaronAaron Mooy	(1990-09-15) 15 September 1990 (age 27)	34	5	Huddersfield Town
15	3MF	Jedinak, MileMile Jedinak (Captain)	(1984-08-03) 3 August 1984 (age 33)	76	18	Aston Villa
17	3MF	Arzani, DanielDaniel Arzani	(1999-01-04) 4 January 1999 (age 19)	2	1	Melbourne City
21	3MF	Petratos, DimitriDimitri Petratos	(1992-11-10) 10 November 1992 (age 25)	2	0	Newcastle Jets
22	3MF	Irvine, JacksonJackson Irvine	(1993-03-07) 7 March 1993 (age 25)	19	2	Hull City
23	3MF	Rogic, TomTom Rogic	(1992-12-16) 16 December 1992 (age 25)	37	7	Celtic
4	4FW	Cahill, TimTim Cahill	(1979-12-06) 6 December 1979 (age 38)	106	50	Unattached
7	4FW	Leckie, MathewMathew Leckie	(1991-02-04) 4 February 1991 (age 27)	53	8	Hertha Berlin
9	4FW	Juric, TomiTomi Juric	(1991-07-22) 22 July 1991 (age 26)	35	8	Luzern
10	4FW	Kruse, RobbieRobbie Kruse	(1988-10-05) 5 October 1988 (age 29)	64	5	VfL Bochum
11	4FW	Nabbout, AndrewAndrew Nabbout	(1992-12-26) 26 December 1992 (age 25)	4	1	Urawa Red Diamonds
14	4FW	Maclaren, JamieJamie Maclaren	(1993-07-29) 29 July 1993 (age 24)	6	0	SV Darmstadt 98
