No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Thibaut Courtois	(1992-05-11) 11 May 1992 (age 26)	58	0	Chelsea
12	1GK	Simon Mignolet	(1988-03-06) 6 March 1988 (age 30)	21	0	Liverpool
13	1GK	Koen Casteels	(1992-06-25) 25 June 1992 (age 25)	0	0	VfL Wolfsburg
2	2DF	Toby Alderweireld	(1989-03-02) 2 March 1989 (age 29)	77	3	Tottenham Hotspur
3	2DF	Thomas Vermaelen	(1985-11-14) 14 November 1985 (age 32)	66	1	Barcelona
4	2DF	Vincent Kompany	(1986-04-10) 10 April 1986 (age 32)	77	4	Manchester City
5	2DF	Jan Vertonghen	(1987-04-24) 24 April 1987 (age 31)	102	8	Tottenham Hotspur
15	2DF	Thomas Meunier	(1991-09-12) 12 September 1991 (age 26)	25	5	Paris Saint-Germain
20	2DF	Dedryck Boyata	(1990-11-28) 28 November 1990 (age 27)	7	0	Celtic
6	3MF	Axel Witsel	(1989-01-12) 12 January 1989 (age 29)	90	9	Tianjin Quanjian
7	3MF	Kevin De Bruyne	(1991-06-28) 28 June 1991 (age 26)	62	14	Manchester City
8	3MF	Marouane Fellaini	(1987-11-22) 22 November 1987 (age 30)	82	17	Manchester United
11	3MF	Yannick Carrasco	(1993-09-04) 4 September 1993 (age 24)	26	5	Dalian Yifang
17	3MF	Youri Tielemans	(1997-05-07) 7 May 1997 (age 21)	9	0	Monaco
18	3MF	Adnan Januzaj	(1995-02-05) 5 February 1995 (age 23)	8	0	Real Sociedad
19	3MF	Mousa Dembélé	(1987-07-16) 16 July 1987 (age 30)	76	5	Tottenham Hotspur
22	3MF	Nacer Chadli	(1989-08-02) 2 August 1989 (age 28)	45	5	West Bromwich Albion
23	3MF	Leander Dendoncker	(1995-04-15) 15 April 1995 (age 23)	5	0	Anderlecht
9	4FW	Romelu Lukaku	(1993-05-13) 13 May 1993 (age 25)	69	36	Manchester United
10	4FW	Eden Hazard (captain)	(1991-01-07) 7 January 1991 (age 27)	86	22	Chelsea
14	4FW	Dries Mertens	(1987-05-06) 6 May 1987 (age 31)	69	14	Napoli
16	4FW	Thorgan Hazard	(1993-03-29) 29 March 1993 (age 25)	11	1	Borussia Mönchengladbach
21	4FW	Michy Batshuayi	(1993-10-02) 2 October 1993 (age 24)	16	7	Borussia Dortmund
