No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Alisson	(1992-10-02) 2 October 1992 (age 25)	26	0	Roma
16	1GK	Cássio	(1987-06-06) 6 June 1987 (age 31)	1	0	Corinthians
23	1GK	Ederson	(1993-08-17) 17 August 1993 (age 24)	1	0	Manchester City
2	2DF	Thiago Silva	(1984-09-22) 22 September 1984 (age 33)	71	5	Paris Saint-Germain
3	2DF	Miranda	(1984-09-07) 7 September 1984 (age 33)	47	2	Internazionale
4	2DF	Pedro Geromel	(1985-09-21) 21 September 1985 (age 32)	2	0	Grêmio
6	2DF	Filipe Luís	(1985-08-09) 9 August 1985 (age 32)	33	2	Atlético Madrid
12	2DF	Marcelo	(1988-05-12) 12 May 1988 (age 30)	54	6	Real Madrid
13	2DF	Marquinhos	(1994-05-14) 14 May 1994 (age 24)	26	0	Paris Saint-Germain
14	2DF	Danilo	(1991-07-15) 15 July 1991 (age 26)	18	0	Manchester City
22	2DF	Fagner	(1989-06-11) 11 June 1989 (age 29)	4	0	Corinthians
5	3MF	Casemiro	(1992-02-23) 23 February 1992 (age 26)	24	0	Real Madrid
8	3MF	Renato Augusto	(1988-02-08) 8 February 1988 (age 30)	28	5	Beijing Sinobo Guoan
11	3MF	Philippe Coutinho	(1992-06-12) 12 June 1992 (age 25)	36	10	Barcelona
15	3MF	Paulinho	(1988-07-25) 25 July 1988 (age 29)	50	12	Barcelona
17	3MF	Fernandinho	(1985-05-04) 4 May 1985 (age 33)	44	2	Manchester City
18	3MF	Fred	(1993-03-05) 5 March 1993 (age 25)	8	0	Manchester United
19	3MF	Willian	(1988-08-09) 9 August 1988 (age 29)	57	8	Chelsea
7	4FW	Douglas Costa	(1990-09-14) 14 September 1990 (age 27)	25	3	Juventus
9	4FW	Gabriel Jesus	(1997-04-03) 3 April 1997 (age 21)	17	10	Manchester City
10	4FW	Neymar	(1992-02-05) 5 February 1992 (age 26)	85	55	Paris Saint-Germain
20	4FW	Roberto Firmino	(1991-10-02) 2 October 1991 (age 26)	21	6	Liverpool
21	4FW	Taison	(1988-01-13) 13 January 1988 (age 30)	8	1	Shakhtar Donetsk
