No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	David Ospina	(1988-08-31) 31 August 1988 (age 29)	86	0	Arsenal
12	1GK	Camilo Vargas	(1989-03-09) 9 March 1989 (age 29)	5	0	Deportivo Cali
22	1GK	José Fernando Cuadrado	(1985-06-01) 1 June 1985 (age 33)	1	0	Once Caldas
2	2DF	Cristián Zapata	(1986-09-30) 30 September 1986 (age 31)	55	2	Milan
3	2DF	Óscar Murillo	(1988-04-18) 18 April 1988 (age 30)	13	0	Pachuca
4	2DF	Santiago Arias	(1992-01-13) 13 January 1992 (age 26)	41	0	PSV
13	2DF	Yerry Mina	(1994-09-23) 23 September 1994 (age 23)	12	3	Barcelona
17	2DF	Johan Mojica	(1991-08-21) 21 August 1991 (age 26)	4	1	Girona
18	2DF	Farid Díaz	(1983-07-20) 20 July 1983 (age 34)	13	0	Olimpia
23	2DF	Davinson Sánchez	(1996-06-12) 12 June 1996 (age 21)	9	0	Tottenham Hotspur
5	3MF	Wílmar Barrios	(1993-10-16) 16 October 1993 (age 24)	10	0	Boca Juniors
6	3MF	Carlos Sánchez	(1986-02-06) 6 February 1986 (age 32)	85	0	Fiorentina
8	3MF	Abel Aguilar	(1985-01-06) 6 January 1985 (age 33)	70	7	Deportivo Cali
10	3MF	James Rodríguez (vice-captain)	(1991-07-12) 12 July 1991 (age 26)	63	21	Bayern Munich
11	3MF	Juan Cuadrado	(1988-05-26) 26 May 1988 (age 30)	70	7	Juventus
15	3MF	Mateus Uribe	(1991-03-21) 21 March 1991 (age 27)	8	0	América
16	3MF	Jefferson Lerma	(1994-10-25) 25 October 1994 (age 23)	5	0	Levante
20	3MF	Juan Fernando Quintero	(1993-01-18) 18 January 1993 (age 25)	15	2	River Plate
7	4FW	Carlos Bacca	(1986-09-08) 8 September 1986 (age 31)	45	14	Villarreal
9	4FW	Radamel Falcao (Captain)	(1986-02-10) 10 February 1986 (age 32)	73	29	Monaco
14	4FW	Luis Muriel	(1991-04-16) 16 April 1991 (age 27)	18	2	Sevilla
19	4FW	Miguel Borja	(1993-01-26) 26 January 1993 (age 25)	7	2	Palmeiras
21	4FW	José Izquierdo	(1992-07-07) 7 July 1992 (age 25)	5	1	Brighton & Hove Albion
