No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Keylor Navas	(1986-12-15) 15 December 1986 (age 31)	81	0	Real Madrid
18	1GK	Patrick Pemberton	(1982-05-24) 24 May 1982 (age 36)	39	0	Alajuelense
23	1GK	Leonel Moreira	(1990-04-02) 2 April 1990 (age 28)	9	0	Herediano
2	2DF	Johnny Acosta	(1983-07-21) 21 July 1983 (age 34)	69	2	Rionegro Águilas
3	2DF	Giancarlo González	(1988-02-08) 8 February 1988 (age 30)	70	2	Bologna
4	2DF	Ian Smith	(1998-03-06) 6 March 1998 (age 20)	4	0	Norrköping
6	2DF	Óscar Duarte	(1989-06-03) 3 June 1989 (age 29)	39	2	Espanyol
8	2DF	Bryan Oviedo	(1990-02-18) 18 February 1990 (age 28)	44	1	Sunderland
15	2DF	Francisco Calvo	(1992-07-08) 8 July 1992 (age 25)	38	4	Minnesota United
16	2DF	Cristian Gamboa	(1989-10-24) 24 October 1989 (age 28)	68	3	Celtic
19	2DF	Kendall Waston	(1988-01-01) 1 January 1988 (age 30)	26	3	Vancouver Whitecaps
22	2DF	Rónald Matarrita	(1994-07-09) 9 July 1994 (age 23)	23	2	New York City
5	3MF	Celso Borges	(1988-05-27) 27 May 1988 (age 30)	111	21	Deportivo La Coruña
7	3MF	Christian Bolaños	(1984-05-17) 17 May 1984 (age 34)	81	6	Saprissa
12	3MF	Daniel Colindres	(1985-01-10) 10 January 1985 (age 33)	12	0	Saprissa
13	3MF	Rodney Wallace	(1988-06-17) 17 June 1988 (age 29)	30	4	New York City
14	3MF	Randall Azofeifa	(1984-12-30) 30 December 1984 (age 33)	58	3	Herediano
17	3MF	Yeltsin Tejeda	(1992-03-17) 17 March 1992 (age 26)	51	0	Lausanne-Sport
20	3MF	David Guzmán	(1990-02-18) 18 February 1990 (age 28)	43	0	Portland Timbers
9	4FW	Joel Campbell	(1992-06-26) 26 June 1992 (age 25)	77	15	Betis
10	4FW	Bryan Ruiz (Captain)	(1985-08-18) 18 August 1985 (age 32)	110	24	Sporting CP
11	4FW	Johan Venegas	(1988-11-27) 27 November 1988 (age 29)	47	10	Saprissa
21	4FW	Marco Ureña	(1990-03-05) 5 March 1990 (age 28)	64	15	Los Angeles
