No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Dominik Livaković	(1995-01-09) 9 January 1995 (age 23)	1	0	Dinamo Zagreb
12	1GK	Lovre Kalinić	(1990-04-03) 3 April 1990 (age 28)	11	0	Gent
23	1GK	Danijel Subašić	(1984-10-27) 27 October 1984 (age 33)	38	0	Monaco
2	2DF	Šime Vrsaljko	(1992-01-10) 10 January 1992 (age 26)	35	0	Atlético Madrid
3	2DF	Ivan Strinić	(1987-07-17) 17 July 1987 (age 30)	43	0	Milan
5	2DF	Vedran Ćorluka	(1986-02-05) 5 February 1986 (age 32)	99	4	Lokomotiv Moscow
6	2DF	Dejan Lovren	(1989-07-05) 5 July 1989 (age 28)	39	2	Liverpool
13	2DF	Tin Jedvaj	(1995-11-28) 28 November 1995 (age 22)	12	0	Bayer Leverkusen
15	2DF	Duje Ćaleta-Car	(1996-09-17) 17 September 1996 (age 21)	1	0	Red Bull Salzburg
21	2DF	Domagoj Vida	(1989-04-29) 29 April 1989 (age 29)	59	2	Beşiktaş
22	2DF	Josip Pivarić	(1989-01-30) 30 January 1989 (age 29)	19	0	Dynamo Kyiv
7	3MF	Ivan Rakitić	(1988-03-10) 10 March 1988 (age 30)	92	14	Barcelona
8	3MF	Mateo Kovačić	(1994-05-06) 6 May 1994 (age 24)	41	1	Real Madrid
10	3MF	Luka Modrić (Captain)	(1985-09-09) 9 September 1985 (age 32)	106	12	Real Madrid
11	3MF	Marcelo Brozović	(1992-11-16) 16 November 1992 (age 25)	35	6	Internazionale
14	3MF	Filip Bradarić	(1992-01-11) 11 January 1992 (age 26)	4	0	Rijeka
19	3MF	Milan Badelj	(1989-02-25) 25 February 1989 (age 29)	38	1	Fiorentina
4	4FW	Ivan Perišić	(1989-02-02) 2 February 1989 (age 29)	66	18	Internazionale
9	4FW	Andrej Kramarić	(1991-06-19) 19 June 1991 (age 26)	31	9	1899 Hoffenheim
16	4FW	Nikola Kalinić	(1988-01-05) 5 January 1988 (age 30)	42	15	Milan
17	4FW	Mario Mandžukić	(1986-05-21) 21 May 1986 (age 32)	83	30	Juventus
18	4FW	Ante Rebić	(1993-09-21) 21 September 1993 (age 24)	16	1	Eintracht Frankfurt
20	4FW	Marko Pjaca	(1995-05-06) 6 May 1995 (age 23)	16	1	Juventus
