No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Kasper Schmeichel (Vice-Captain)	(1986-11-05) 5 November 1986 (age 31)	35	0	Leicester City
16	1GK	Jonas Lössl	(1989-02-01) 1 February 1989 (age 29)	1	0	Huddersfield Town
22	1GK	Frederik Rønnow	(1992-08-04) 4 August 1992 (age 25)	6	0	Brøndby
3	2DF	Jannik Vestergaard	(1992-08-03) 3 August 1992 (age 25)	16	1	Borussia Mönchengladbach
4	2DF	Simon Kjær (Captain)	(1989-03-26) 26 March 1989 (age 29)	78	3	Sevilla
5	2DF	Jonas Knudsen	(1992-09-16) 16 September 1992 (age 25)	3	0	Ipswich Town
6	2DF	Andreas Christensen	(1996-04-10) 10 April 1996 (age 22)	16	1	Chelsea
13	2DF	Mathias Jørgensen	(1990-04-23) 23 April 1990 (age 28)	12	0	Huddersfield Town
14	2DF	Henrik Dalsgaard	(1989-07-27) 27 July 1989 (age 28)	11	0	Brentford
17	2DF	Jens Stryger Larsen	(1991-02-21) 21 February 1991 (age 27)	13	1	Udinese
2	3MF	Michael Krohn-Dehli	(1983-06-06) 6 June 1983 (age 35)	59	6	Deportivo La Coruña
7	3MF	William Kvist	(1985-02-24) 24 February 1985 (age 33)	80	2	Copenhagen
8	3MF	Thomas Delaney	(1991-09-03) 3 September 1991 (age 26)	27	4	Borussia Dortmund
10	3MF	Christian Eriksen	(1992-02-14) 14 February 1992 (age 26)	78	22	Tottenham Hotspur
15	3MF	Viktor Fischer	(1994-06-09) 9 June 1994 (age 24)	19	3	Copenhagen
18	3MF	Lukas Lerager	(1993-07-12) 12 July 1993 (age 24)	4	0	Bordeaux
19	3MF	Lasse Schöne	(1986-05-27) 27 May 1986 (age 32)	36	3	Ajax
23	3MF	Pione Sisto	(1995-02-04) 4 February 1995 (age 23)	14	1	Celta
9	4FW	Nicolai Jørgensen	(1991-01-15) 15 January 1991 (age 27)	31	8	Feyenoord
11	4FW	Martin Braithwaite	(1991-06-05) 5 June 1991 (age 27)	20	1	Bordeaux
12	4FW	Kasper Dolberg	(1997-10-06) 6 October 1997 (age 20)	6	1	Ajax
20	4FW	Yussuf Poulsen	(1994-06-15) 15 June 1994 (age 23)	28	4	RB Leipzig
21	4FW	Andreas Cornelius	(1993-03-16) 16 March 1993 (age 25)	18	4	Atalanta
