No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Essam El Hadary (Captain)	(1973-01-15) 15 January 1973 (age 45)	158	0	Al Taawoun
16	1GK	Sherif Ekramy	(1983-07-10) 10 July 1983 (age 34)	23	0	Al Ahly
23	1GK	Mohamed El Shenawy	(1988-12-18) 18 December 1988 (age 29)	3	0	Al Ahly
2	2DF	Ali Gabr	(1989-01-10) 10 January 1989 (age 29)	22	1	West Bromwich Albion
3	2DF	Ahmed Elmohamady	(1987-09-09) 9 September 1987 (age 30)	78	2	Aston Villa
4	2DF	Omar Gaber	(1992-01-30) 30 January 1992 (age 26)	25	0	Los Angeles
6	2DF	Ahmed Hegazi	(1991-01-25) 25 January 1991 (age 27)	45	1	West Bromwich Albion
7	2DF	Ahmed Fathy (Vice-captain)	(1984-11-10) 10 November 1984 (age 33)	126	3	Al Ahly
12	2DF	Ayman Ashraf	(1991-04-09) 9 April 1991 (age 27)	5	1	Al Ahly
13	2DF	Mohamed Abdel Shafy	(1985-07-01) 1 July 1985 (age 32)	51	1	Al Fateh
15	2DF	El Wensh	(1995-06-01) 1 June 1995 (age 23)	1	0	Zamalek
20	2DF	Saad Samir	(1989-04-01) 1 April 1989 (age 29)	11	0	Al Ahly
5	3MF	Sam Morsy	(1991-09-10) 10 September 1991 (age 26)	5	0	Wigan Athletic
8	3MF	Tarek Hamed	(1988-10-24) 24 October 1988 (age 29)	22	0	Zamalek
14	3MF	Ramadan Sobhi	(1997-01-23) 23 January 1997 (age 21)	24	1	Stoke City
17	3MF	Mohamed Elneny	(1992-07-11) 11 July 1992 (age 25)	61	5	Arsenal
18	3MF	Shikabala	(1986-03-05) 5 March 1986 (age 32)	30	2	Al Raed
19	3MF	Abdallah Said	(1985-07-13) 13 July 1985 (age 32)	37	6	Al-Ahli
21	3MF	Trézéguet	(1994-10-01) 1 October 1994 (age 23)	25	2	Kasımpaşa
22	3MF	Amr Warda	(1993-09-17) 17 September 1993 (age 24)	17	0	PAOK
9	4FW	Marwan Mohsen	(1989-02-26) 26 February 1989 (age 29)	25	4	Al Ahly
10	4FW	Mohamed Salah	(1992-06-15) 15 June 1992 (age 25)	57	33	Liverpool
11	4FW	Kahraba	(1994-04-13) 13 April 1994 (age 24)	20	3	Al Ittihad
