No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Jordan Pickford	(1994-03-07) 7 March 1994 (age 24)	3	0	Everton
13	1GK	Jack Butland	(1993-03-10) 10 March 1993 (age 25)	8	0	Stoke City
23	1GK	Nick Pope	(1992-04-19) 19 April 1992 (age 26)	1	0	Burnley
2	2DF	Kyle Walker	(1990-05-28) 28 May 1990 (age 28)	35	0	Manchester City
3	2DF	Danny Rose	(1990-07-02) 2 July 1990 (age 27)	18	0	Tottenham Hotspur
5	2DF	John Stones	(1994-05-28) 28 May 1994 (age 24)	26	0	Manchester City
6	2DF	Harry Maguire	(1993-03-05) 5 March 1993 (age 25)	5	0	Leicester City
12	2DF	Kieran Trippier	(1990-09-19) 19 September 1990 (age 27)	7	0	Tottenham Hotspur
15	2DF	Gary Cahill	(1985-12-19) 19 December 1985 (age 32)	60	5	Chelsea
16	2DF	Phil Jones	(1992-02-21) 21 February 1992 (age 26)	25	0	Manchester United
17	2DF	Fabian Delph	(1989-11-21) 21 November 1989 (age 28)	11	0	Manchester City
18	2DF	Ashley Young	(1985-07-09) 9 July 1985 (age 32)	34	7	Manchester United
22	2DF	Trent Alexander-Arnold	(1998-10-07) 7 October 1998 (age 19)	1	0	Liverpool
4	3MF	Eric Dier	(1994-01-15) 15 January 1994 (age 24)	26	3	Tottenham Hotspur
7	3MF	Jesse Lingard	(1992-12-15) 15 December 1992 (age 25)	12	1	Manchester United
8	3MF	Jordan Henderson	(1990-06-17) 17 June 1990 (age 27)	39	0	Liverpool
20	3MF	Dele Alli	(1996-04-11) 11 April 1996 (age 22)	25	2	Tottenham Hotspur
21	3MF	Ruben Loftus-Cheek	(1996-01-23) 23 January 1996 (age 22)	4	0	Chelsea
9	4FW	Harry Kane (Captain [30])	(1993-07-28) 28 July 1993 (age 24)	24	13	Tottenham Hotspur
10	4FW	Raheem Sterling	(1994-12-08) 8 December 1994 (age 23)	38	2	Manchester City
11	4FW	Jamie Vardy	(1987-01-11) 11 January 1987 (age 31)	22	7	Leicester City
14	4FW	Danny Welbeck	(1990-11-26) 26 November 1990 (age 27)	39	16	Arsenal
19	4FW	Marcus Rashford	(1997-10-31) 31 October 1997 (age 20)	19	3	Manchester United
