No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Hugo Lloris (Captain)	(1986-12-26) 26 December 1986 (age 31)	98	0	Tottenham Hotspur
16	1GK	Steve Mandanda	(1985-03-28) 28 March 1985 (age 33)	27	0	Marseille
23	1GK	Alphonse Areola	(1993-02-27) 27 February 1993 (age 25)	0	0	Paris Saint-Germain
2	2DF	Benjamin Pavard	(1996-03-28) 28 March 1996 (age 22)	6	0	VfB Stuttgart
3	2DF	Presnel Kimpembe	(1995-08-13) 13 August 1995 (age 22)	2	0	Paris Saint-Germain
4	2DF	Raphaël Varane	(1993-04-25) 25 April 1993 (age 25)	42	2	Real Madrid
5	2DF	Samuel Umtiti	(1993-11-14) 14 November 1993 (age 24)	19	2	Barcelona
17	2DF	Adil Rami	(1985-12-27) 27 December 1985 (age 32)	35	1	Marseille
19	2DF	Djibril Sidibé	(1992-07-29) 29 July 1992 (age 25)	17	1	Monaco
21	2DF	Lucas Hernández	(1996-02-14) 14 February 1996 (age 22)	5	0	Atlético Madrid
22	2DF	Benjamin Mendy	(1994-07-17) 17 July 1994 (age 23)	7	0	Manchester City
6	3MF	Paul Pogba	(1993-03-15) 15 March 1993 (age 25)	54	9	Manchester United
8	3MF	Thomas Lemar	(1995-11-12) 12 November 1995 (age 22)	12	3	Monaco
12	3MF	Corentin Tolisso	(1994-08-03) 3 August 1994 (age 23)	9	0	Bayern Munich
13	3MF	N'Golo Kanté	(1991-03-29) 29 March 1991 (age 27)	24	1	Chelsea
14	3MF	Blaise Matuidi	(1987-04-09) 9 April 1987 (age 31)	67	9	Juventus
15	3MF	Steven Nzonzi	(1988-12-15) 15 December 1988 (age 29)	4	0	Sevilla
7	4FW	Antoine Griezmann	(1991-03-21) 21 March 1991 (age 27)	54	20	Atlético Madrid
9	4FW	Olivier Giroud	(1986-09-30) 30 September 1986 (age 31)	74	31	Chelsea
10	4FW	Kylian Mbappé	(1998-12-20) 20 December 1998 (age 19)	15	4	Paris Saint-Germain
11	4FW	Ousmane Dembélé	(1997-05-15) 15 May 1997 (age 21)	12	2	Barcelona
18	4FW	Nabil Fekir	(1993-07-18) 18 July 1993 (age 24)	12	2	Lyon
20	4FW	Florian Thauvin	(1993-01-26) 26 January 1993 (age 25)	4	0	Marseille
