No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Manuel Neuer (captain)	(1986-03-27) 27 March 1986 (age 32)	76	0	Bayern Munich
12	1GK	Kevin Trapp	(1990-07-08) 8 July 1990 (age 27)	3	0	Paris Saint-Germain
22	1GK	Marc-André ter Stegen	(1992-04-30) 30 April 1992 (age 26)	20	0	Barcelona
2	2DF	Marvin Plattenhardt	(1992-01-26) 26 January 1992 (age 26)	6	0	Hertha BSC
3	2DF	Jonas Hector	(1990-05-27) 27 May 1990 (age 28)	38	3	1. FC Köln
4	2DF	Matthias Ginter	(1994-01-19) 19 January 1994 (age 24)	18	0	Borussia Mönchengladbach
5	2DF	Mats Hummels	(1988-12-16) 16 December 1988 (age 29)	64	5	Bayern Munich
15	2DF	Niklas Süle	(1995-09-03) 3 September 1995 (age 22)	11	0	Bayern Munich
16	2DF	Antonio Rüdiger	(1993-03-03) 3 March 1993 (age 25)	24	1	Chelsea
17	2DF	Jérôme Boateng	(1988-09-03) 3 September 1988 (age 29)	71	1	Bayern Munich
18	2DF	Joshua Kimmich	(1995-02-08) 8 February 1995 (age 23)	29	3	Bayern Munich
6	3MF	Sami Khedira	(1987-04-04) 4 April 1987 (age 31)	75	7	Juventus
7	3MF	Julian Draxler	(1993-09-20) 20 September 1993 (age 24)	44	6	Paris Saint-Germain
8	3MF	Toni Kroos	(1990-01-04) 4 January 1990 (age 28)	83	12	Real Madrid
10	3MF	Mesut Özil	(1988-10-15) 15 October 1988 (age 29)	90	23	Arsenal
14	3MF	Leon Goretzka	(1995-02-06) 6 February 1995 (age 23)	15	6	Schalke 04
19	3MF	Sebastian Rudy	(1990-02-28) 28 February 1990 (age 28)	25	1	Bayern Munich
20	3MF	Julian Brandt	(1996-05-02) 2 May 1996 (age 22)	16	1	Bayer Leverkusen
21	3MF	İlkay Gündoğan	(1990-10-24) 24 October 1990 (age 27)	26	4	Manchester City
9	4FW	Timo Werner	(1996-03-06) 6 March 1996 (age 22)	14	8	RB Leipzig
11	4FW	Marco Reus	(1989-05-31) 31 May 1989 (age 29)	31	9	Borussia Dortmund
13	4FW	Thomas Müller	(1989-09-13) 13 September 1989 (age 28)	91	38	Bayern Munich
23	4FW	Mario Gómez	(1985-07-10) 10 July 1985 (age 32)	75	31	VfB Stuttgart
