No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Hannes Halldórsson	(1984-04-27) 27 April 1984 (age 34)	49	0	Randers
12	1GK	Frederik Schram	(1995-01-19) 19 January 1995 (age 23)	4	0	Roskilde
13	1GK	Rúnar Alex Rúnarsson	(1995-02-18) 18 February 1995 (age 23)	3	0	Nordsjælland
2	2DF	Birkir Már Sævarsson	(1984-11-11) 11 November 1984 (age 33)	79	1	Valur
3	2DF	Samúel Friðjónsson	(1996-02-22) 22 February 1996 (age 22)	4	0	Vålerenga
5	2DF	Sverrir Ingi Ingason	(1993-08-05) 5 August 1993 (age 24)	20	3	Rostov
6	2DF	Ragnar Sigurðsson	(1986-06-19) 19 June 1986 (age 31)	77	3	Rostov
14	2DF	Kári Árnason	(1982-10-13) 13 October 1982 (age 35)	67	5	Víkingur
15	2DF	Hólmar Örn Eyjólfsson	(1990-08-06) 6 August 1990 (age 27)	10	1	Levski Sofia
18	2DF	Hörður Björgvin Magnússon	(1993-02-11) 11 February 1993 (age 25)	16	2	Bristol City
23	2DF	Ari Freyr Skúlason	(1987-05-14) 14 May 1987 (age 31)	56	0	Lokeren
7	3MF	Jóhann Berg Guðmundsson	(1990-10-27) 27 October 1990 (age 27)	67	7	Burnley
8	3MF	Birkir Bjarnason	(1988-05-27) 27 May 1988 (age 30)	67	9	Aston Villa
10	3MF	Gylfi Sigurðsson	(1989-09-08) 8 September 1989 (age 28)	57	19	Everton
16	3MF	Ólafur Ingi Skúlason	(1983-04-01) 1 April 1983 (age 35)	36	1	Fylkir
17	3MF	Aron Gunnarsson (Captain)	(1989-04-22) 22 April 1989 (age 29)	77	2	Cardiff City
19	3MF	Rúrik Gíslason	(1988-02-25) 25 February 1988 (age 30)	47	3	Sandhausen
20	3MF	Emil Hallfreðsson	(1984-06-29) 29 June 1984 (age 33)	64	1	Udinese
21	3MF	Arnór Ingvi Traustason	(1993-04-30) 30 April 1993 (age 25)	19	5	Malmö
4	4FW	Albert Guðmundsson	(1997-06-15) 15 June 1997 (age 20)	5	3	PSV
9	4FW	Björn Bergmann Sigurðarson	(1991-02-26) 26 February 1991 (age 27)	12	1	Rostov
11	4FW	Alfreð Finnbogason	(1989-02-01) 1 February 1989 (age 29)	47	13	Augsburg
22	4FW	Jón Daði Böðvarsson	(1992-05-25) 25 May 1992 (age 26)	38	2	Reading
