No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Yassine Bounou	(1991-04-05) 5 April 1991 (age 27)	11	0	Girona
12	1GK	Munir Mohamedi	(1989-05-10) 10 May 1989 (age 29)	27	0	Numancia
22	1GK	Ahmed Reda Tagnaouti	(1996-04-05) 5 April 1996 (age 22)	2	0	IR Tanger
2	2DF	Achraf Hakimi	(1998-11-04) 4 November 1998 (age 19)	10	1	Real Madrid
3	2DF	Hamza Mendyl	(1997-10-21) 21 October 1997 (age 20)	13	0	Lille
4	2DF	Manuel da Costa	(1986-05-06) 6 May 1986 (age 32)	28	1	İstanbul Başakşehir
5	2DF	Medhi Benatia (Captain)	(1987-04-17) 17 April 1987 (age 31)	57	2	Juventus
6	2DF	Romain Saïss	(1990-03-26) 26 March 1990 (age 28)	24	1	Wolverhampton Wanderers
17	2DF	Nabil Dirar	(1986-02-25) 25 February 1986 (age 32)	34	3	Fenerbahçe
7	3MF	Hakim Ziyech	(1993-03-19) 19 March 1993 (age 25)	18	9	Ajax
8	3MF	Karim El Ahmadi	(1985-01-27) 27 January 1985 (age 33)	51	1	Feyenoord
10	3MF	Younès Belhanda	(1990-02-25) 25 February 1990 (age 28)	47	5	Galatasaray
11	3MF	Fayçal Fajr	(1988-08-01) 1 August 1988 (age 29)	23	2	Getafe
14	3MF	Mbark Boussoufa (Vice-captain)	(1984-08-15) 15 August 1984 (age 33)	59	7	Al-Jazira
15	3MF	Youssef Aït Bennasser	(1996-07-07) 7 July 1996 (age 21)	14	0	Caen
16	3MF	Nordin Amrabat	(1987-03-31) 31 March 1987 (age 31)	44	4	Leganés
18	3MF	Amine Harit	(1997-06-18) 18 June 1997 (age 20)	6	0	Schalke 04
23	3MF	Mehdi Carcela-González	(1989-07-01) 1 July 1989 (age 28)	20	1	Standard Liège
21	3MF	Sofyan Amrabat	(1996-08-21) 21 August 1996 (age 21)	6	0	Feyenoord
9	4FW	Ayoub El Kaabi	(1993-06-26) 26 June 1993 (age 24)	10	11	RS Berkane
13	4FW	Khalid Boutaïb	(1987-04-24) 24 April 1987 (age 31)	18	7	Yeni Malatyaspor
20	4FW	Aziz Bouhaddouz	(1987-01-29) 29 January 1987 (age 31)	15	3	St. Pauli
19	4FW	Youssef En-Nesyri	(1997-06-01) 1 June 1997 (age 21)	16	2	Málaga
