No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Daniel Akpeyi	(1986-08-03) 3 August 1986 (age 31)	7	0	Chippa United
16	1GK	Ikechukwu Ezenwa	(1988-10-16) 16 October 1988 (age 29)	24	0	Enyimba
23	1GK	Francis Uzoho	(1998-10-28) 28 October 1998 (age 19)	6	0	Deportivo La Coruña
2	2DF	Brian Idowu	(1992-05-18) 18 May 1992 (age 26)	5	1	Amkar Perm
3	2DF	Elderson Echiéjilé	(1988-01-20) 20 January 1988 (age 30)	62	3	Cercle Brugge
4	2DF	Kenneth Omeruo	(1993-10-17) 17 October 1993 (age 24)	39	0	Chelsea
5	2DF	William Troost-Ekong	(1993-09-01) 1 September 1993 (age 24)	22	1	Bursaspor
6	2DF	Leon Balogun	(1989-06-28) 28 June 1989 (age 28)	19	0	Brighton & Hove Albion
12	2DF	Shehu Abdullahi	(1993-03-12) 12 March 1993 (age 25)	25	0	Bursaspor
20	2DF	Chidozie Awaziem	(1997-01-01) 1 January 1997 (age 21)	4	0	Nantes
21	2DF	Tyronne Ebuehi	(1995-12-16) 16 December 1995 (age 22)	7	0	Benfica
8	3MF	Oghenekaro Etebo	(1995-11-09) 9 November 1995 (age 22)	14	1	Stoke City
10	3MF	John Obi Mikel (Captain)	(1987-04-22) 22 April 1987 (age 31)	85	6	Tianjin Teda
11	3MF	Victor Moses	(1990-12-12) 12 December 1990 (age 27)	34	11	Chelsea
13	3MF	Wilfred Ndidi	(1996-12-16) 16 December 1996 (age 21)	17	0	Leicester City
17	3MF	Ogenyi Onazi	(1992-12-25) 25 December 1992 (age 25)	52	1	Trabzonspor
19	3MF	John Ogu	(1988-04-20) 20 April 1988 (age 30)	20	2	Hapoel Be'er Sheva
22	3MF	Joel Obi	(1991-05-22) 22 May 1991 (age 27)	17	0	Torino
7	4FW	Ahmed Musa	(1992-10-14) 14 October 1992 (age 25)	72	13	CSKA Moscow
9	4FW	Odion Ighalo	(1989-06-16) 16 June 1989 (age 28)	19	4	Changchun Yatai
14	4FW	Kelechi Iheanacho	(1996-10-03) 3 October 1996 (age 21)	18	8	Leicester City
15	4FW	Simeon Nwankwo	(1992-05-07) 7 May 1992 (age 26)	2	0	Crotone
18	4FW	Alex Iwobi	(1996-05-03) 3 May 1996 (age 22)	19	5	Arsenal
