No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Jaime Penedo	(1981-09-26) 26 September 1981 (age 36)	131	0	Dinamo București
12	1GK	José Calderón	(1985-08-14) 14 August 1985 (age 32)	31	0	Chorrillo
22	1GK	Álex Rodríguez	(1990-08-05) 5 August 1990 (age 27)	6	0	San Francisco
2	2DF	Michael Amir Murillo	(1996-02-15) 15 February 1996 (age 22)	22	2	New York Red Bulls
3	2DF	Harold Cummings	(1992-03-01) 1 March 1992 (age 26)	52	0	San Jose Earthquakes
4	2DF	Fidel Escobar	(1995-01-09) 9 January 1995 (age 23)	23	1	New York Red Bulls
5	2DF	Román Torres	(1986-03-20) 20 March 1986 (age 32)	111	10	Seattle Sounders
13	2DF	Adolfo Machado	(1985-02-14) 14 February 1985 (age 33)	76	1	Houston Dynamo
15	2DF	Erick Davis	(1991-03-31) 31 March 1991 (age 27)	38	0	Dunajská Streda
17	2DF	Luis Ovalle	(1988-09-07) 7 September 1988 (age 29)	25	0	Olimpia
23	2DF	Felipe Baloy (Captain)	(1981-02-24) 24 February 1981 (age 37)	102	3	Municipal
6	3MF	Gabriel Gómez	(1984-05-29) 29 May 1984 (age 34)	144	12	Atlético Bucaramanga
8	3MF	Édgar Bárcenas	(1993-10-23) 23 October 1993 (age 24)	29	0	Tapachula
11	3MF	Armando Cooper	(1987-11-26) 26 November 1987 (age 30)	98	7	Universidad de Chile
14	3MF	Valentín Pimentel	(1991-05-30) 30 May 1991 (age 27)	23	1	Plaza Amador
19	3MF	Ricardo Ávila	(1997-01-04) 4 January 1997 (age 21)	5	0	Gent II
20	3MF	Aníbal Godoy	(1990-02-10) 10 February 1990 (age 28)	89	2	San Jose Earthquakes
21	3MF	José Luis Rodríguez	(1998-06-19)19 June 1998 (aged 19)	2	0	Gent II
7	4FW	Blas Pérez	(1981-03-13) 13 March 1981 (age 37)	118	43	Municipal
9	4FW	Gabriel Torres	(1988-10-31) 31 October 1988 (age 29)	72	14	Huachipato
10	4FW	Ismael Díaz	(1997-05-12) 12 May 1997 (age 21)	11	2	Deportivo Fabril
18	4FW	Luis Tejada	(1982-03-28) 28 March 1982 (age 36)	105	43	Sport Boys
16	4FW	Abdiel Arroyo	(1993-12-13) 13 December 1993 (age 24)	33	5	Alajuelense
