No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Pedro Gallese	(1990-02-23) 23 February 1990 (age 28)	38	0	Veracruz
12	1GK	Carlos Cáceda	(1991-09-27) 27 September 1991 (age 26)	6	0	Veracruz
21	1GK	José Carvallo	(1986-03-01) 1 March 1986 (age 32)	6	0	UTC
2	2DF	Alberto Rodríguez	(1984-03-31) 31 March 1984 (age 34)	74	0	Junior
3	2DF	Aldo Corzo	(1989-05-20) 20 May 1989 (age 29)	26	0	Universitario de Deportes
4	2DF	Anderson Santamaría	(1992-01-10) 10 January 1992 (age 26)	6	0	Puebla
5	2DF	Miguel Araujo	(1994-10-24) 24 October 1994 (age 23)	8	0	Alianza Lima
6	2DF	Miguel Trauco	(1992-08-25) 25 August 1992 (age 25)	27	0	Flamengo
15	2DF	Christian Ramos	(1988-11-04) 4 November 1988 (age 29)	68	3	Veracruz
17	2DF	Luis Advíncula	(1990-03-02) 2 March 1990 (age 28)	67	0	BUAP
22	2DF	Nilson Loyola	(1994-10-26) 26 October 1994 (age 23)	3	0	Melgar
7	3MF	Paolo Hurtado	(1990-07-27) 27 July 1990 (age 27)	33	3	Vitória de Guimarães
8	3MF	Christian Cueva	(1991-11-23) 23 November 1991 (age 26)	46	8	São Paulo
13	3MF	Renato Tapia	(1995-07-28) 28 July 1995 (age 22)	33	3	Feyenoord
14	3MF	Andy Polo	(1994-09-29) 29 September 1994 (age 23)	17	1	Portland Timbers
16	3MF	Wilder Cartagena	(1994-09-23) 23 September 1994 (age 23)	3	0	Veracruz
19	3MF	Yoshimar Yotún	(1990-04-07) 7 April 1990 (age 28)	74	2	Orlando City
20	3MF	Edison Flores	(1994-05-15) 15 May 1994 (age 24)	30	9	AaB
23	3MF	Pedro Aquino	(1995-04-13) 13 April 1995 (age 23)	14	0	León
9	4FW	Paolo Guerrero (Captain)	(1984-01-01) 1 January 1984 (age 34)	88	34	Flamengo
10	4FW	Jefferson Farfán	(1984-10-26) 26 October 1984 (age 33)	84	25	Lokomotiv Moscow
11	4FW	Raúl Ruidíaz	(1990-07-25) 25 July 1990 (age 27)	30	4	Morelia
18	4FW	André Carrillo	(1991-06-14) 14 June 1991 (age 26)	46	5	Watford
