No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Wojciech Szczęsny	(1990-04-18) 18 April 1990 (age 28)	34	0	Juventus
12	1GK	Bartosz Białkowski	(1987-07-06) 6 July 1987 (age 30)	1	0	Ipswich Town
22	1GK	Łukasz Fabiański	(1985-04-18) 18 April 1985 (age 33)	44	0	Swansea City
2	2DF	Michał Pazdan	(1987-09-21) 21 September 1987 (age 30)	32	0	Legia Warsaw
3	2DF	Artur Jędrzejczyk	(1987-11-04) 4 November 1987 (age 30)	35	3	Legia Warsaw
4	2DF	Thiago Cionek	(1986-04-21) 21 April 1986 (age 32)	18	0	SPAL
5	2DF	Jan Bednarek	(1996-04-12) 12 April 1996 (age 22)	2	0	Southampton
13	2DF	Maciej Rybus	(1989-08-19) 19 August 1989 (age 28)	50	2	Lokomotiv Moscow
15	2DF	Kamil Glik	(1988-02-03) 3 February 1988 (age 30)	58	4	Monaco
18	2DF	Bartosz Bereszyński	(1992-07-12) 12 July 1992 (age 25)	7	0	Sampdoria
20	2DF	Łukasz Piszczek	(1985-06-03) 3 June 1985 (age 33)	62	3	Borussia Dortmund
6	3MF	Jacek Góralski	(1992-09-21) 21 September 1992 (age 25)	4	0	Ludogorets Razgrad
8	3MF	Karol Linetty	(1995-02-02) 2 February 1995 (age 23)	20	1	Sampdoria
10	3MF	Grzegorz Krychowiak	(1990-01-29) 29 January 1990 (age 28)	50	2	West Bromwich Albion
11	3MF	Kamil Grosicki	(1988-06-08) 8 June 1988 (age 30)	57	12	Hull City
16	3MF	Jakub Błaszczykowski	(1985-12-14) 14 December 1985 (age 32)	98	19	VfL Wolfsburg
17	3MF	Sławomir Peszko	(1985-02-19) 19 February 1985 (age 33)	43	2	Lechia Gdańsk
19	3MF	Piotr Zieliński	(1994-05-20) 20 May 1994 (age 24)	32	5	Napoli
21	3MF	Rafał Kurzawa	(1993-01-29) 29 January 1993 (age 25)	3	0	Górnik Zabrze
7	4FW	Arkadiusz Milik	(1994-02-28) 28 February 1994 (age 24)	39	12	Napoli
9	4FW	Robert Lewandowski	(1988-08-21) 21 August 1988 (age 29)	94	53	Bayern Munich
14	4FW	Łukasz Teodorczyk	(1991-06-03) 3 June 1991 (age 27)	16	4	Anderlecht
23	4FW	Dawid Kownacki	(1997-03-14) 14 March 1997 (age 21)	1	0	Sampdoria
