No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Rui Patrício	(1988-02-15) 15 February 1988 (age 30)	69	0	Sporting CP
12	1GK	Anthony Lopes	(1990-10-01) 1 October 1990 (age 27)	7	0	Lyon
22	1GK	Beto	(1982-06-01) 1 June 1982 (age 36)	14	0	Göztepe
2	2DF	Bruno Alves	(1981-11-27) 27 November 1981 (age 36)	96	11	Rangers
3	2DF	Pepe (Vice-captain)	(1983-02-26) 26 February 1983 (age 35)	95	5	Beşiktaş
5	2DF	Raphaël Guerreiro	(1993-12-22) 22 December 1993 (age 24)	24	2	Borussia Dortmund
6	2DF	José Fonte	(1983-12-22) 22 December 1983 (age 34)	31	0	Dalian Yifang
13	2DF	Rúben Dias	(1997-05-14) 14 May 1997 (age 21)	1	0	Benfica
15	2DF	Ricardo Pereira	(1993-10-06) 6 October 1993 (age 24)	4	0	Leicester City
19	2DF	Mário Rui	(1991-05-27) 27 May 1991 (age 27)	4	0	Napoli
21	2DF	Cédric	(1991-08-31) 31 August 1991 (age 26)	29	1	Southampton
4	3MF	Manuel Fernandes	(1986-02-05) 5 February 1986 (age 32)	14	3	Lokomotiv Moscow
8	3MF	João Moutinho	(1986-09-08) 8 September 1986 (age 31)	110	7	Monaco
10	3MF	João Mário	(1993-01-19) 19 January 1993 (age 25)	36	2	West Ham United
11	3MF	Bernardo Silva	(1994-08-10) 10 August 1994 (age 23)	25	2	Manchester City
14	3MF	William Carvalho	(1992-04-07) 7 April 1992 (age 26)	43	2	Sporting CP
16	3MF	Bruno Fernandes	(1994-09-08) 8 September 1994 (age 23)	6	1	Sporting CP
23	3MF	Adrien Silva	(1989-03-15) 15 March 1989 (age 29)	23	1	Leicester City
7	4FW	Cristiano Ronaldo (Captain)	(1985-02-05) 5 February 1985 (age 33)	150	81	Real Madrid
9	4FW	André Silva	(1995-11-06) 6 November 1995 (age 22)	23	12	Milan
17	4FW	Gonçalo Guedes	(1996-11-29) 29 November 1996 (age 21)	10	3	Valencia
18	4FW	Gelson Martins	(1995-05-11) 11 May 1995 (age 23)	18	0	Sporting CP
20	4FW	Ricardo Quaresma	(1983-09-26) 26 September 1983 (age 34)	77	9	Beşiktaş
