No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Igor Akinfeev (Captain)	(1986-04-08) 8 April 1986 (age 32)	106	0	CSKA Moscow
12	1GK	Andrey Lunyov	(1991-11-13) 13 November 1991 (age 26)	3	0	Zenit Saint Petersburg
20	1GK	Vladimir Gabulov	(1983-10-19) 19 October 1983 (age 34)	10	0	Club Brugge
2	2DF	Mário Fernandes	(1990-09-19) 19 September 1990 (age 27)	5	0	CSKA Moscow
3	2DF	Ilya Kutepov	(1993-07-29) 29 July 1993 (age 24)	7	0	Spartak Moscow
4	2DF	Sergei Ignashevich	(1979-07-14) 14 July 1979 (age 38)	122	8	CSKA Moscow
5	2DF	Andrei Semyonov	(1989-03-24) 24 March 1989 (age 29)	6	0	Akhmat Grozny
13	2DF	Fyodor Kudryashov	(1987-04-05) 5 April 1987 (age 31)	19	0	Rubin Kazan
14	2DF	Vladimir Granat	(1987-05-22) 22 May 1987 (age 31)	12	1	Rubin Kazan
23	2DF	Igor Smolnikov	(1988-08-08) 8 August 1988 (age 29)	27	0	Zenit Saint Petersburg
6	3MF	Denis Cheryshev	(1990-12-26) 26 December 1990 (age 27)	11	0	Villarreal
7	3MF	Daler Kuzyayev	(1993-01-15) 15 January 1993 (age 25)	6	0	Zenit Saint Petersburg
8	3MF	Yury Gazinsky	(1989-07-20) 20 July 1989 (age 28)	6	0	Krasnodar
9	3MF	Alan Dzagoev	(1990-06-17) 17 June 1990 (age 27)	57	9	CSKA Moscow
11	3MF	Roman Zobnin	(1994-02-11) 11 February 1994 (age 24)	12	0	Spartak Moscow
16	3MF	Anton Miranchuk	(1995-10-17) 17 October 1995 (age 22)	6	0	Lokomotiv Moscow
17	3MF	Aleksandr Golovin	(1996-05-30) 30 May 1996 (age 22)	19	2	CSKA Moscow
18	3MF	Yuri Zhirkov	(1983-08-20) 20 August 1983 (age 34)	84	2	Zenit Saint Petersburg
19	3MF	Aleksandr Samedov	(1984-07-19) 19 July 1984 (age 33)	48	7	Spartak Moscow
21	3MF	Aleksandr Yerokhin	(1989-10-13) 13 October 1989 (age 28)	17	0	Zenit Saint Petersburg
10	4FW	Fyodor Smolov	(1990-02-05) 5 February 1990 (age 28)	32	12	Krasnodar
15	4FW	Aleksei Miranchuk	(1995-10-17) 17 October 1995 (age 22)	18	4	Lokomotiv Moscow
22	4FW	Artem Dzyuba	(1988-08-22) 22 August 1988 (age 29)	23	11	Arsenal Tula
