No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Abdoulaye Diallo	(1992-03-30) 30 March 1992 (age 26)	17	0	Rennes
16	1GK	Khadim N'Diaye	(1984-11-30) 30 November 1984 (age 33)	26	0	Horoya
23	1GK	Alfred Gomis	(1993-09-05) 5 September 1993 (age 24)	1	0	SPAL
2	2DF	Saliou Ciss	(1989-09-15) 15 September 1989 (age 28)	18	0	Valenciennes
3	2DF	Kalidou Koulibaly	(1991-06-20) 20 June 1991 (age 26)	26	0	Napoli
4	2DF	Kara Mbodji	(1989-11-11) 11 November 1989 (age 28)	52	5	Anderlecht
6	2DF	Salif Sané	(1990-08-25) 25 August 1990 (age 27)	22	0	Hannover 96
12	2DF	Youssouf Sabaly	(1993-03-05) 5 March 1993 (age 25)	5	0	Bordeaux
21	2DF	Lamine Gassama	(1989-10-20) 20 October 1989 (age 28)	36	0	Alanyaspor
22	2DF	Moussa Wagué	(1998-10-04) 4 October 1998 (age 19)	10	0	Eupen
5	3MF	Idrissa Gueye	(1989-09-26) 26 September 1989 (age 28)	61	1	Everton
8	3MF	Cheikhou Kouyaté (Captain)	(1989-12-21) 21 December 1989 (age 28)	48	2	West Ham United
11	3MF	Cheikh N'Doye	(1986-03-29) 29 March 1986 (age 32)	26	3	Birmingham City
13	3MF	Alfred N'Diaye	(1990-03-06) 6 March 1990 (age 28)	21	0	Wolverhampton Wanderers
17	3MF	Badou Ndiaye	(1990-10-27) 27 October 1990 (age 27)	19	1	Stoke City
7	4FW	Moussa Sow	(1986-01-19) 19 January 1986 (age 32)	51	18	Bursaspor
9	4FW	Mame Biram Diouf	(1987-12-16) 16 December 1987 (age 30)	48	10	Stoke City
10	4FW	Sadio Mané	(1992-04-10) 10 April 1992 (age 26)	53	14	Liverpool
14	4FW	Moussa Konaté	(1993-04-03) 3 April 1993 (age 25)	28	10	Amiens
15	4FW	Diafra Sakho	(1989-12-24) 24 December 1989 (age 28)	12	3	Rennes
18	4FW	Ismaïla Sarr	(1998-02-25) 25 February 1998 (age 20)	16	3	Rennes
19	4FW	M'Baye Niang	(1994-12-19) 19 December 1994 (age 23)	7	0	Torino
20	4FW	Keita Baldé	(1995-03-08) 8 March 1995 (age 23)	19	3	Monaco
