No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Vladimir Stojković	(1983-07-28) 28 July 1983 (age 34)	81	0	Partizan
12	1GK	Predrag Rajković	(1995-10-31) 31 October 1995 (age 22)	8	0	Maccabi Tel Aviv
23	1GK	Marko Dmitrović	(1992-01-24) 24 January 1992 (age 26)	2	0	Eibar
2	2DF	Antonio Rukavina	(1984-01-26) 26 January 1984 (age 34)	47	0	Villarreal
3	2DF	Duško Tošić	(1985-01-19) 19 January 1985 (age 33)	24	1	Guangzhou R&F
5	2DF	Uroš Spajić	(1993-02-13) 13 February 1993 (age 25)	5	0	Krasnodar
6	2DF	Branislav Ivanović	(1984-02-22) 22 February 1984 (age 34)	103	13	Zenit Saint Petersburg
11	2DF	Aleksandar Kolarov (Captain)	(1985-11-10) 10 November 1985 (age 32)	76	10	Roma
13	2DF	Miloš Veljković	(1995-09-26) 26 September 1995 (age 22)	2	0	Werder Bremen
14	2DF	Milan Rodić	(1991-04-02) 2 April 1991 (age 27)	1	0	Red Star Belgrade
15	2DF	Nikola Milenković	(1997-10-12) 12 October 1997 (age 20)	3	0	Fiorentina
4	3MF	Luka Milivojević	(1991-04-07) 7 April 1991 (age 27)	28	1	Crystal Palace
7	3MF	Andrija Živković	(1996-07-11) 11 July 1996 (age 21)	10	0	Benfica
10	3MF	Dušan Tadić	(1988-11-20) 20 November 1988 (age 29)	53	13	Southampton
16	3MF	Marko Grujić	(1996-04-13) 13 April 1996 (age 22)	8	0	Liverpool
17	3MF	Filip Kostić	(1992-11-01) 1 November 1992 (age 25)	23	2	Hamburger SV
18	3MF	Nemanja Radonjić	(1996-02-15) 15 February 1996 (age 22)	3	0	Red Star Belgrade
20	3MF	Sergej Milinković-Savić	(1995-02-27) 27 February 1995 (age 23)	4	0	Lazio
21	3MF	Nemanja Matić (Vice-captain)	(1988-08-01) 1 August 1988 (age 29)	40	2	Manchester United
22	3MF	Adem Ljajić	(1991-09-29) 29 September 1991 (age 26)	29	6	Torino
8	4FW	Aleksandar Prijović	(1990-04-21) 21 April 1990 (age 28)	9	1	PAOK
9	4FW	Aleksandar Mitrović	(1994-09-16) 16 September 1994 (age 23)	37	16	Newcastle
19	4FW	Luka Jović	(1997-12-23) 23 December 1997 (age 20)	1	0	Eintracht Frankfurt
