No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	David de Gea	(1990-11-07) 7 November 1990 (age 27)	29	0	Manchester United
13	1GK	Kepa Arrizabalaga	(1994-10-03) 3 October 1994 (age 23)	1	0	Athletic Bilbao
23	1GK	Pepe Reina	(1982-08-31) 31 August 1982 (age 35)	36	0	Napoli
2	2DF	Dani Carvajal	(1992-01-11) 11 January 1992 (age 26)	15	0	Real Madrid
3	2DF	Gerard Piqué	(1987-02-02) 2 February 1987 (age 31)	98	5	Barcelona
4	2DF	Nacho	(1990-01-18) 18 January 1990 (age 28)	17	0	Real Madrid
12	2DF	Álvaro Odriozola	(1995-12-14) 14 December 1995 (age 22)	4	1	Real Sociedad
14	2DF	César Azpilicueta	(1989-08-28) 28 August 1989 (age 28)	22	0	Chelsea
15	2DF	Sergio Ramos (Captain)	(1986-03-30) 30 March 1986 (age 32)	152	13	Real Madrid
16	2DF	Nacho Monreal	(1986-02-26) 26 February 1986 (age 32)	22	1	Arsenal
18	2DF	Jordi Alba	(1989-03-21) 21 March 1989 (age 29)	62	8	Barcelona
5	3MF	Sergio Busquets	(1988-07-16) 16 July 1988 (age 29)	103	2	Barcelona
6	3MF	Andrés Iniesta (Vice-captain)	(1984-05-11) 11 May 1984 (age 34)	127	14	Vissel Kobe
7	3MF	Saúl	(1994-11-21) 21 November 1994 (age 23)	10	0	Atlético Madrid
8	3MF	Koke	(1992-01-08) 8 January 1992 (age 26)	40	0	Atlético Madrid
10	3MF	Thiago	(1991-04-11) 11 April 1991 (age 27)	29	2	Bayern Munich
11	3MF	Lucas Vázquez	(1991-07-01) 1 July 1991 (age 26)	7	0	Real Madrid
20	3MF	Marco Asensio	(1996-01-21) 21 January 1996 (age 22)	12	0	Real Madrid
21	3MF	David Silva	(1986-01-08) 8 January 1986 (age 32)	121	35	Manchester City
22	3MF	Isco	(1992-04-21) 21 April 1992 (age 26)	28	10	Real Madrid
9	4FW	Rodrigo	(1991-03-06) 6 March 1991 (age 27)	6	2	Valencia
17	4FW	Iago Aspas	(1987-08-01) 1 August 1987 (age 30)	10	5	Celta
19	4FW	Diego Costa	(1988-10-07) 7 October 1988 (age 29)	20	7	Atlético Madrid
