No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Robin Olsen	(1990-01-08) 8 January 1990 (age 28)	18	0	Copenhagen
12	1GK	Karl-Johan Johnsson	(1990-01-28) 28 January 1990 (age 28)	5	0	Guingamp
23	1GK	Kristoffer Nordfeldt	(1989-06-23) 23 June 1989 (age 28)	8	0	Swansea City
2	2DF	Mikael Lustig	(1986-12-13) 13 December 1986 (age 31)	66	6	Celtic
3	2DF	Victor Lindelöf	(1994-07-17) 17 July 1994 (age 23)	21	1	Manchester United
4	2DF	Andreas Granqvist (captain)	(1985-04-16) 16 April 1985 (age 33)	72	6	Helsingborg
5	2DF	Martin Olsson	(1988-05-17) 17 May 1988 (age 30)	43	5	Swansea City
6	2DF	Ludwig Augustinsson	(1994-04-21) 21 April 1994 (age 24)	15	0	Werder Bremen
14	2DF	Filip Helander	(1993-04-22) 22 April 1993 (age 25)	4	0	Bologna
16	2DF	Emil Krafth	(1994-08-02) 2 August 1994 (age 23)	13	0	Bologna
18	2DF	Pontus Jansson	(1991-02-13) 13 February 1991 (age 27)	15	0	Leeds United
7	3MF	Sebastian Larsson (vice captain)	(1985-06-06) 6 June 1985 (age 33)	100	6	AIK
8	3MF	Albin Ekdal	(1989-07-28) 28 July 1989 (age 28)	34	0	Hamburger SV
10	3MF	Emil Forsberg	(1991-10-23) 23 October 1991 (age 26)	36	6	RB Leipzig
13	3MF	Gustav Svensson	(1987-02-07) 7 February 1987 (age 31)	13	0	Seattle Sounders FC
15	3MF	Oscar Hiljemark	(1992-06-28) 28 June 1992 (age 25)	22	2	Genoa
17	3MF	Viktor Claesson	(1992-01-02) 2 January 1992 (age 26)	22	3	Krasnodar
19	3MF	Marcus Rohdén	(1991-05-11) 11 May 1991 (age 27)	12	1	Crotone
21	3MF	Jimmy Durmaz	(1989-03-22) 22 March 1989 (age 29)	45	3	Toulouse
9	4FW	Marcus Berg	(1986-08-17) 17 August 1986 (age 31)	57	18	Al Ain
11	4FW	John Guidetti	(1992-04-15) 15 April 1992 (age 26)	20	1	Alavés
20	4FW	Ola Toivonen	(1986-07-03) 3 July 1986 (age 31)	59	13	Toulouse
22	4FW	Isaac Kiese Thelin	(1992-06-24) 24 June 1992 (age 25)	20	2	Waasland-Beveren
