No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Yann Sommer	(1988-12-17) 17 December 1988 (age 29)	35	0	Borussia Mönchengladbach
12	1GK	Yvon Mvogo	(1994-06-06) 6 June 1994 (age 24)	0	0	RB Leipzig
21	1GK	Roman Bürki	(1990-11-14) 14 November 1990 (age 27)	9	0	Borussia Dortmund
2	2DF	Stephan Lichtsteiner (Captain)	(1984-01-16) 16 January 1984 (age 34)	100	8	Arsenal
3	2DF	François Moubandje	(1990-06-21) 21 June 1990 (age 27)	18	0	Toulouse
4	2DF	Nico Elvedi	(1996-09-30) 30 September 1996 (age 21)	6	0	Borussia Mönchengladbach
5	2DF	Manuel Akanji	(1995-07-19) 19 July 1995 (age 22)	7	0	Borussia Dortmund
6	2DF	Michael Lang	(1991-02-08) 8 February 1991 (age 27)	24	2	Basel
13	2DF	Ricardo Rodríguez	(1992-08-25) 25 August 1992 (age 25)	53	5	Milan
20	2DF	Johan Djourou	(1987-01-18) 18 January 1987 (age 31)	74	2	Antalyaspor
22	2DF	Fabian Schär	(1991-12-20) 20 December 1991 (age 26)	39	7	Deportivo La Coruña
8	3MF	Remo Freuler	(1992-04-15) 15 April 1992 (age 26)	10	0	Atalanta
10	3MF	Granit Xhaka	(1992-09-27) 27 September 1992 (age 25)	62	9	Arsenal
11	3MF	Valon Behrami	(1985-04-19) 19 April 1985 (age 33)	79	2	Udinese
14	3MF	Steven Zuber	(1991-08-17) 17 August 1991 (age 26)	12	3	1899 Hoffenheim
15	3MF	Blerim Džemaili	(1986-04-12) 12 April 1986 (age 32)	65	9	Bologna
16	3MF	Gelson Fernandes	(1986-09-02) 2 September 1986 (age 31)	67	2	Eintracht Frankfurt
17	3MF	Denis Zakaria	(1996-11-20) 20 November 1996 (age 21)	10	0	Borussia Mönchengladbach
23	3MF	Xherdan Shaqiri	(1991-10-10) 10 October 1991 (age 26)	70	20	Stoke City
7	4FW	Breel Embolo	(1997-02-14) 14 February 1997 (age 21)	25	3	Schalke 04
9	4FW	Haris Seferović	(1992-02-22) 22 February 1992 (age 26)	51	12	Benfica
18	4FW	Mario Gavranović	(1989-11-24) 24 November 1989 (age 28)	14	5	Dinamo Zagreb
19	4FW	Josip Drmić	(1992-08-08) 8 August 1992 (age 25)	29	9	Borussia Mönchengladbach
