No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Farouk Ben Mustapha	(1989-07-01) 1 July 1989 (age 28)	15	0	Al-Shabab
16	1GK	Aymen Mathlouthi (Captain)	(1984-09-14) 14 September 1984 (age 33)	70	0	Al-Batin
22	1GK	Mouez Hassen	(1995-03-05) 5 March 1995 (age 23)	3	0	Châteauroux
2	2DF	Syam Ben Youssef	(1989-03-31) 31 March 1989 (age 29)	42	1	Kasımpaşa
3	2DF	Yohan Benalouane	(1987-03-28) 28 March 1987 (age 31)	4	0	Leicester City
4	2DF	Yassine Meriah	(1993-07-02) 2 July 1993 (age 24)	16	1	CS Sfaxien
5	2DF	Oussama Haddadi	(1992-01-28) 28 January 1992 (age 26)	9	0	Dijon
6	2DF	Rami Bedoui	(1990-01-19) 19 January 1990 (age 28)	8	0	Étoile du Sahel
11	2DF	Dylan Bronn	(1995-06-19) 19 June 1995 (age 22)	5	0	Gent
12	2DF	Ali Maâloul	(1990-01-01) 1 January 1990 (age 28)	46	0	Al Ahly
21	2DF	Hamdi Nagguez	(1992-10-28) 28 October 1992 (age 25)	15	0	Zamalek
7	3MF	Saîf-Eddine Khaoui	(1995-04-27) 27 April 1995 (age 23)	5	0	Troyes
10	3MF	Wahbi Khazri (Vice-captain)	(1991-02-08) 8 February 1991 (age 27)	35	12	Rennes
13	3MF	Ferjani Sassi	(1992-03-18) 18 March 1992 (age 26)	39	3	Al-Nassr
14	3MF	Mohamed Amine Ben Amor	(1992-01-01) 1 January 1992 (age 26)	26	1	Étoile du Sahel
15	3MF	Ahmed Khalil	(1994-12-21) 21 December 1994 (age 23)	3	0	Club Africain
17	3MF	Ellyes Skhiri	(1995-05-10) 10 May 1995 (age 23)	5	0	Montpellier
18	3MF	Bassem Srarfi	(1997-06-25) 25 June 1997 (age 20)	5	0	Nice
20	3MF	Ghailene Chaalali	(1994-02-28) 28 February 1994 (age 24)	6	1	Espérance
23	3MF	Naïm Sliti	(1992-07-27) 27 July 1992 (age 25)	17	3	Dijon
8	4FW	Fakhreddine Ben Youssef	(1991-06-21) 21 June 1991 (age 26)	39	5	Al-Ettifaq
9	4FW	Anice Badri	(1990-08-18) 18 August 1990 (age 27)	10	3	Espérance
19	4FW	Saber Khalifa	(1986-10-14) 14 October 1986 (age 31)	44	7	Club Africain
