No.	Pos.	Player	Date of birth (age)	Caps	Goals	Club
1	1GK	Fernando Muslera	(1986-06-16) 16 June 1986 (age 31)	97	0	Galatasaray
12	1GK	Martín Campaña	(1989-05-29) 29 May 1989 (age 29)	1	0	Independiente
23	1GK	Martín Silva	(1983-03-25) 25 March 1983 (age 35)	11	0	Vasco da Gama
2	2DF	José María Giménez	(1995-01-20) 20 January 1995 (age 23)	42	5	Atlético Madrid
3	2DF	Diego Godín (captain)	(1986-02-16) 16 February 1986 (age 32)	116	8	Atlético Madrid
4	2DF	Guillermo Varela	(1993-03-24) 24 March 1993 (age 25)	3	0	Peñarol
13	2DF	Gastón Silva	(1994-03-05) 5 March 1994 (age 24)	17	0	Independiente
16	2DF	Maxi Pereira	(1984-06-08) 8 June 1984 (age 34)	125	3	Porto
19	2DF	Sebastián Coates	(1990-10-07) 7 October 1990 (age 27)	30	1	Sporting CP
22	2DF	Martín Cáceres	(1987-04-07) 7 April 1987 (age 31)	76	4	Lazio
5	3MF	Carlos Sánchez	(1984-12-02) 2 December 1984 (age 33)	36	1	Monterrey
6	3MF	Rodrigo Bentancur	(1997-06-25) 25 June 1997 (age 20)	7	0	Juventus
7	3MF	Cristian Rodríguez	(1985-09-30) 30 September 1985 (age 32)	105	11	Peñarol
8	3MF	Nahitan Nández	(1995-12-28) 28 December 1995 (age 22)	12	0	Boca Juniors
10	3MF	Giorgian De Arrascaeta	(1994-06-01) 1 June 1994 (age 24)	14	2	Cruzeiro
14	3MF	Lucas Torreira	(1996-02-11) 11 February 1996 (age 22)	3	0	Sampdoria
15	3MF	Matías Vecino	(1991-08-24) 24 August 1991 (age 26)	22	1	Internazionale
17	3MF	Diego Laxalt	(1993-02-07) 7 February 1993 (age 25)	6	0	Genoa
9	4FW	Luis Suárez	(1987-01-24) 24 January 1987 (age 31)	98	51	Barcelona
11	4FW	Cristhian Stuani	(1986-10-12) 12 October 1986 (age 31)	41	5	Girona
18	4FW	Maxi Gómez	(1996-08-14) 14 August 1996 (age 21)	5	0	Celta
20	4FW	Jonathan Urretaviscaya	(1990-03-19) 19 March 1990 (age 28)	4	0	Monterrey
21	4FW	Edinson Cavani	(1987-02-14) 14 February 1987 (age 31)	101	42	Paris Saint-Germain
